sample_index,i_in,q_in,output_valid,fir_acc_i,fir_acc_q,fir_i,fir_q,bit_msb,bit_lsb
0,1000,1000,0,1000,1000,0,0,0,0
1,-1000,1000,0,1000,3000,0,0,0,0
2,-1000,-1000,0,0,4000,0,0,0,0
3,1000,-1000,0,-2000,2000,0,0,0,0
4,0,1000,1,-2000,-1000,-222,-111,1,1
5,-1000,0,1,-1000,-2000,-111,-222,1,1
6,0,-1000,1,-1000,-1000,-111,-111,1,1
7,1000,0,1,-1000,-1000,-111,-111,1,1
8,2000,2000,1,2000,0,222,0,0,0
9,-2000,2000,1,4000,4000,444,444,0,0
10,-2000,-2000,1,2000,7000,222,777,0,0
11,2000,-2000,1,-3000,4000,-333,444,0,1
12,1500,-1500,1,-2500,-5500,-277,-611,1,1
13,-1500,1500,1,1500,-9500,166,-1055,1,0
14,1500,1500,1,5000,-6000,555,-666,1,0
15,-1500,-1500,1,2000,1000,222,111,0,0
16,3000,0,1,3000,3000,333,333,0,0
17,0,3000,1,3000,3000,333,333,0,0
18,0,0,1,7500,4500,833,500,0,0
19,0,0,1,4500,7500,500,833,0,0
20,0,0,1,3000,6000,333,666,0,0
21,2500,-2500,1,2500,500,277,55,0,0
22,2500,-2500,1,7500,-7500,833,-833,1,0
23,2500,-2500,1,15000,-15000,1666,-1666,1,0
24,-2000,-1000,1,15500,-18500,1722,-2055,1,0
25,3000,-3000,1,14000,-20000,1555,-2222,1,0
26,0,3000,1,7500,-13500,833,-1500,1,0
27,-2000,3000,1,5500,-4500,611,-500,1,0
28,0,2000,1,0,10000,0,1111,0,0
29,-1000,-1000,1,-4000,15000,-444,1666,0,1
30,-1000,3000,1,-7000,16000,-777,1777,0,1
31,-3000,0,1,-10000,10000,-1111,1111,0,1
